"Time_ms","MsgProc","StateAfter","MsgClass","MsgNumber","Var1","Var2","Var3","Var4","Var5","Var6","Var7","Var8","TimeString","MsgText","PLC"
46241402932.2685,2,0,64,149,,,,,,,,,"07-Aug-26 09:40:13","Cutting","Connection_2"
46241402932.2685,2,0,64,150,,,,,,,,,"07-Aug-26 09:40:13","Cutting completed","Connection_2"
46241402967.1065,2,1,64,37,,,,,,,,,"07-Aug-26 09:40:16","Wagon waiting for Feeder","Connection_2"
46241402967.1065,2,1,64,72,,,,,,,,,"07-Aug-26 09:40:16","Unwinder Material Tension","Connection_2"
46241402979.2593,2,1,64,36,,,,,,,,,"07-Aug-26 09:40:17","Wagon to start position","Connection_2"
46241403014.6296,2,0,64,37,,,,,,,,,"07-Aug-26 09:40:20","Wagon waiting for Feeder","Connection_2"
46241403014.6296,2,0,64,72,,,,,,,,,"07-Aug-26 09:40:20","Unwinder Material Tension","Connection_2"
46241403048.9815,2,0,64,36,,,,,,,,,"07-Aug-26 09:40:23","Wagon to start position","Connection_2"
46241403071.5856,2,1,64,37,,,,,,,,,"07-Aug-26 09:40:25","Wagon waiting for Feeder","Connection_2"
46241403071.5856,2,1,64,74,"13","5","1339","302",,,,,"07-Aug-26 09:40:25","Deployment in Progress - Pallet Nr: 13 Pallet Type: 5 Layer Nr: 1339 Matt Nr: 302","Connection_2"
46241403106.4583,2,0,64,37,,,,,,,,,"07-Aug-26 09:40:28","Wagon waiting for Feeder","Connection_2"
46241403106.4583,2,0,64,74,"13","5","1339","302",,,,,"07-Aug-26 09:40:28","Deployment in Progress - Pallet Nr: 13 Pallet Type: 5 Layer Nr: 1339 Matt Nr: 302","Connection_2"
46241403269.0046,2,1,64,149,,,,,,,,,"07-Aug-26 09:40:42","Cutting","Connection_2"
46241403303.8657,2,1,64,150,,,,,,,,,"07-Aug-26 09:40:45","Cutting completed","Connection_2"
46241403327.6042,2,0,64,149,,,,,,,,,"07-Aug-26 09:40:48","Cutting","Connection_2"
46241403327.6042,2,0,64,150,,,,,,,,,"07-Aug-26 09:40:48","Cutting completed","Connection_2"
46241403361.8634,2,1,64,37,,,,,,,,,"07-Aug-26 09:40:50","Wagon waiting for Feeder","Connection_2"
46241403361.8634,2,1,64,72,,,,,,,,,"07-Aug-26 09:40:50","Unwinder Material Tension","Connection_2"
46241403385.5208,2,1,64,36,,,,,,,,,"07-Aug-26 09:40:53","Wagon to start position","Connection_2"
46241403385.5208,2,0,64,37,,,,,,,,,"07-Aug-26 09:40:53","Wagon waiting for Feeder","Connection_2"
46241403385.5208,2,0,64,72,,,,,,,,,"07-Aug-26 09:40:53","Unwinder Material Tension","Connection_2"
46241403385.5208,2,1,64,112,,,,,,,,,"07-Aug-26 09:40:53","Lowering Pallet","Connection_2"
46241403432.0949,2,0,64,36,,,,,,,,,"07-Aug-26 09:40:57","Wagon to start position","Connection_2"
46241403432.0949,2,0,64,112,,,,,,,,,"07-Aug-26 09:40:57","Lowering Pallet","Connection_2"
46241403466.3542,2,1,64,37,,,,,,,,,"07-Aug-26 09:40:59","Wagon waiting for Feeder","Connection_2"
46241403466.3542,2,1,64,74,"13","5","1340","301",,,,,"07-Aug-26 09:40:59","Deployment in Progress - Pallet Nr: 13 Pallet Type: 5 Layer Nr: 1340 Matt Nr: 301","Connection_2"
46241403501.1806,2,0,64,37,,,,,,,,,"07-Aug-26 09:41:03","Wagon waiting for Feeder","Connection_2"
46241403524.4097,2,0,64,74,"13","5","1340","301",,,,,"07-Aug-26 09:41:05","Deployment in Progress - Pallet Nr: 13 Pallet Type: 5 Layer Nr: 1340 Matt Nr: 301","Connection_2"
46241403710.1042,2,1,64,149,,,,,,,,,"07-Aug-26 09:41:21","Cutting","Connection_2"
46241403745.5208,2,1,64,150,,,,,,,,,"07-Aug-26 09:41:24","Cutting completed","Connection_2"
46241403768.7616,2,0,64,149,,,,,,,,,"07-Aug-26 09:41:26","Cutting","Connection_2"
46241403768.7616,2,0,64,150,,,,,,,,,"07-Aug-26 09:41:26","Cutting completed","Connection_2"
46241403884.3287,2,1,64,37,,,,,,,,,"07-Aug-26 09:41:36","Wagon waiting for Feeder","Connection_2"
46241403884.3287,2,1,64,72,,,,,,,,,"07-Aug-26 09:41:36","Unwinder Material Tension","Connection_2"
46241403908.8542,2,1,64,36,,,,,,,,,"07-Aug-26 09:41:38","Wagon to start position","Connection_2"
46241403932.0023,2,0,64,37,,,,,,,,,"07-Aug-26 09:41:40","Wagon waiting for Feeder","Connection_2"
46241403932.0023,2,0,64,72,,,,,,,,,"07-Aug-26 09:41:40","Unwinder Material Tension","Connection_2"
46241403977.8356,2,0,64,36,,,,,,,,,"07-Aug-26 09:41:44","Wagon to start position","Connection_2"
46241404000.5093,2,1,64,37,,,,,,,,,"07-Aug-26 09:41:46","Wagon waiting for Feeder","Connection_2"
46241404000.5093,2,1,64,74,"13","5","1341","300",,,,,"07-Aug-26 09:41:46","Deployment in Progress - Pallet Nr: 13 Pallet Type: 5 Layer Nr: 1341 Matt Nr: 300","Connection_2"
46241404023.7269,2,0,64,37,,,,,,,,,"07-Aug-26 09:41:48","Wagon waiting for Feeder","Connection_2"
46241404023.7269,2,0,64,74,"13","5","1341","300",,,,,"07-Aug-26 09:41:48","Deployment in Progress - Pallet Nr: 13 Pallet Type: 5 Layer Nr: 1341 Matt Nr: 300","Connection_2"
46241404209.4907,2,1,64,149,,,,,,,,,"07-Aug-26 09:42:04","Cutting","Connection_2"
46241404232.6852,2,1,64,150,,,,,,,,,"07-Aug-26 09:42:06","Cutting completed","Connection_2"
46241404256.4583,2,0,64,149,,,,,,,,,"07-Aug-26 09:42:08","Cutting","Connection_2"
46241404256.4583,2,0,64,150,,,,,,,,,"07-Aug-26 09:42:08","Cutting completed","Connection_2"
46241404290.7407,2,1,64,37,,,,,,,,,"07-Aug-26 09:42:11","Wagon waiting for Feeder","Connection_2"
46241404290.7407,2,1,64,72,,,,,,,,,"07-Aug-26 09:42:11","Unwinder Material Tension","Connection_2"
46241404314.5486,2,1,64,36,,,,,,,,,"07-Aug-26 09:42:13","Wagon to start position","Connection_2"
46241404314.5486,2,0,64,37,,,,,,,,,"07-Aug-26 09:42:13","Wagon waiting for Feeder","Connection_2"
